,temp,feelslike,dew,humidity,precip,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,year,month,day,time,Percent Output
197,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.014920634920634921
198,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.015855572998430142
199,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.0033783783783783786
201,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.017996289424860853
202,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01696
203,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.010319410319410319
204,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.014285714285714285
205,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01616954474097331
206,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01648979591836735
207,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01636363636363636
209,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,-0.002036199095022624
210,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.013923013923013924
211,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.012857142857142859
212,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.011661807580174927
215,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.016119402985074627
218,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.00798611111111111
219,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01311111111111111
221,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.012318840579710146
222,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.26365079365079364
223,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.16813186813186812
224,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.20456081081081082
226,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.16623376623376623
228,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.20114660114660113
229,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1523809523809524
230,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.18194662480376766
231,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.15885714285714286
232,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1958181818181818
234,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.06470588235294117
235,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1954135954135954
236,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.21825396825396826
237,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.18950437317784258
240,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1919402985074627
243,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.13333333333333333
244,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1788888888888889
246,25.2,14.2,10.9,54.1,0.0,0,0,17.9,11.9,18.0,1042.3,100.0,9.9,86.0,0.3,1.0,2018,1,1,9.0,0.1498550724637681
247,26.2,14.9,11.8,54.11,0.0,0,0,17.7,13.1,356.0,1042.9,96.9,9.9,209.0,0.8,2.0,2018,1,1,10.0,0.21571428571428572
248,26.2,14.9,11.8,54.11,0.0,0,0,17.7,13.1,356.0,1042.9,96.9,9.9,209.0,0.8,2.0,2018,1,1,10.0,0.1772370486656201
249,26.2,14.9,11.8,54.11,0.0,0,0,17.7,13.1,356.0,1042.9,96.9,9.9,209.0,0.8,2.0,2018,1,1,10.0,0.1956081081081081
251,26.2,14.9,11.8,54.11,0.0,0,0,17.7,13.1,356.0,1042.9,96.9,9.9,209.0,0.8,2.0,2018,1,1,10.0,0.20037105751391468
