name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Austin, TX",2018-01-01 0:00:00,26.9,17.2,21.1,78.65,0,,,0,0,20.9,10.3,4,1038.3,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,72254013904,72254413958"
"Austin, TX",2018-01-01 1:00:00,26,15.5,19.6,76.3,0,,,0,0,23.3,11.5,10,1038.1,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 2:00:00,26,14.2,16.8,67.94,0,,,0,0,18.3,14.3,1,1038.6,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 3:00:00,26,15.1,15.9,65.31,0,,,0,0,20.6,12.2,353,1039.4,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 4:00:00,26,15.5,15.6,64.45,0,,,0,0,21.9,11.4,1,1039.7,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 5:00:00,26,14.9,14.8,62.14,0,,,0,0,16.9,12.7,353,1039.7,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 6:00:00,26,15.2,14.3,60.72,0,,,0,0,20.1,12,1,1040.1,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 7:00:00,25.8,15.8,13.1,58.12,0,,,0,0,24.2,10.3,10,1040.9,100,9.9,,,,,Overcast,cloudy,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 8:00:00,25,14.1,11.4,55.86,0,,,0,0,18.9,11.7,10,1041.6,97.5,9.9,18,0.1,0,,Overcast,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 9:00:00,25.2,14.2,10.9,54.1,0,,,0,0,17.9,11.9,18,1042.3,100,9.9,86,0.3,1,,Overcast,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 10:00:00,26.2,14.9,11.8,54.11,0,,,0,0,17.7,13.1,356,1042.9,96.9,9.9,209,0.8,2,,Overcast,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
"Austin, TX",2018-01-01 11:00:00,26.5,15.9,11.7,53.11,0,,,0,0,19.7,11.9,360,1043,94.3,9.9,266,1,3,,Overcast,cloudy,"KATT,KAUS,72064800230,E4737,KEDC,72254013904,72254413958"
