,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,month,day,time,onefourtyfive_ago,onethirty_ago,onefifteen_ago,one_ago,fourtyfive_ago,thirty_ago,fifteen_ago,Percent Output
0,54.0,54.0,43.1,66.34,0.0,1.1,300.0,1026.0,100.0,9.5,65.0,0.2,1.0,11,21,16.0,,,,,,,,0.01809288204205555
16,53.1,53.1,44.0,71.14,0.0,2.6,334.0,1025.9,100.0,9.9,22.0,0.1,0.0,11,21,17.0,,,,,,,0.01809288204205555,-0.003069830203530868
32,51.3,51.3,45.2,79.54,0.0,1.1,296.0,1026.8,100.0,9.5,49.0,0.2,0.0,11,21,18.0,,,,,,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117
48,51.2,51.2,46.4,83.72,0.0,0.0,0.0,1027.3,100.0,9.9,17.0,0.1,0.0,11,21,19.0,,,,,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618
64,51.1,51.1,45.5,81.1,0.0,1.3,337.0,1027.6,100.0,9.9,1.0,0.0,0.0,11,21,20.0,,,,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848
80,60.6,60.6,46.6,59.73,0.0,1.3,80.0,1021.0,100.0,9.9,43.0,0.2,0.0,11,22,17.0,,,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05
96,59.5,59.5,47.2,63.79,0.0,0.8,60.0,1021.0,100.0,9.9,11.0,0.0,0.0,11,22,18.0,,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05,-0.0013718655122006078
112,59.3,59.3,47.3,64.5,0.0,0.8,60.0,1021.2,100.0,9.9,31.0,0.1,0.0,11,22,19.0,0.01809288204205555,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05,-0.0013718655122006078,-0.0011469695265939508
128,58.9,58.9,47.5,65.86,0.0,3.2,160.0,1020.7,100.0,9.9,1.0,0.0,0.0,11,22,20.0,-0.003069830203530868,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05,-0.0013718655122006078,-0.0011469695265939508,-0.0011132351287529523
144,58.9,58.9,47.8,66.51,0.0,6.8,148.0,1020.8,100.0,9.9,0.0,0.0,0.0,11,22,21.0,-0.0012706623186776117,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05,-0.0013718655122006078,-0.0011469695265939508,-0.0011132351287529523,-0.0010907455301922865
160,57.6,57.6,49.4,74.17,0.0,4.6,160.0,1020.0,97.5,9.9,0.0,0.0,0.0,11,22,22.0,-0.001135724727313618,-0.0011244799280332848,-2.2489598560665735e-05,-0.0013718655122006078,-0.0011469695265939508,-0.0011132351287529523,-0.0010907455301922865,-0.0011132351287529523
