,onefourtyfive_ago,onethirty_ago,onefifteen_ago,one_ago,fourtyfive_ago,thirty_ago,fifteen_ago,temp,feelslike,dew,humidity,precip,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,year,month,day,time,Percent Output
4,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,25.0,14.1,11.4,55.86,0.0,0,0,18.9,11.7,10.0,1041.6,97.5,9.9,18.0,0.1,0.0,2018,1,1,8.0,0.01696
5,-0.0008,-0.0008,-0.0008,0.01696,0.02544,0.05808,0.08224000000000001,26.5,15.9,11.7,53.11,0.0,0,0,19.7,11.9,360.0,1043.0,94.3,9.9,266.0,1.0,3.0,2018,1,1,11.0,0.2528
45,0.5184000000000001,0.524,0.5272,0.524,0.52176,0.5121600000000001,-0.00064,54.9,54.9,20.9,26.37,0.0,0,0,18.3,2.3,355.0,1028.2,6.2,9.9,489.0,1.8,5.0,2018,1,3,15.0,0.5041599999999999
130,0.012159999999999999,0.022080000000000002,0.03056,0.043840000000000004,0.10528,0.08992000000000001,0.1624,58.1,58.1,53.9,85.91,0.0,0,0,17.2,7.8,182.0,1017.8,43.3,9.9,175.0,0.6,2.0,2018,1,7,10.0,0.1536
131,0.10528,0.08992000000000001,0.1624,0.1536,0.12272,0.10432000000000001,0.12912,61.8,61.8,54.7,77.42,0.0,0,0,21.7,8.2,191.0,1017.4,100.0,9.9,194.0,0.7,2.0,2018,1,7,11.0,0.14800000000000002
132,0.12272,0.10432000000000001,0.12912,0.14800000000000002,0.12352,0.07328,0.1472,65.7,65.7,55.8,70.36,0.0,0,0,29.9,13.4,191.0,1015.6,100.0,9.9,117.0,0.4,1.0,2018,1,7,12.0,0.07615999999999999
133,0.12352,0.07328,0.1472,0.07615999999999999,0.09072,0.1416,0.08976,66.8,66.8,56.5,69.54,0.0,0,0,25.7,13.6,181.0,1013.5,100.0,9.9,137.0,0.5,1.0,2018,1,7,13.0,0.056319999999999995
134,0.09072,0.1416,0.08976,0.056319999999999995,0.03392,0.06912,0.04496000000000001,66.5,66.5,56.5,70.06,0.0,0,0,23.3,9.1,191.0,1012.9,100.0,9.9,75.0,0.3,1.0,2018,1,7,14.0,0.041440000000000005
135,0.03392,0.06912,0.04496000000000001,0.041440000000000005,0.0304,0.038079999999999996,0.05104,66.4,66.4,56.8,71.11,0.0,0,0,17.8,8.5,202.0,1012.3,100.0,9.9,58.0,0.2,1.0,2018,1,7,15.0,0.06048
167,0.14768,0.17584,0.21488,0.21712,0.23216,0.24464,0.27808,61.8,61.8,52.8,72.33,0.0,0,0,20.8,8.8,166.0,1011.6,99.4,9.9,267.0,1.0,3.0,2018,1,10,13.0,0.30335999999999996
168,0.23216,0.24464,0.27808,0.30335999999999996,0.25136,0.30352,0.46192,65.8,65.8,52.2,61.51,0.0,0,0,17.2,10.1,188.0,1009.9,89.0,9.9,408.0,1.5,4.0,2018,1,10,14.0,0.44512
