,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,month,day,time,Percent Output
0,-0.8775415984478169,-0.8054918596412803,-0.7329552914474126,0.04406778192990604,-0.09736502153830026,-1.3651766971972237,1.340246236164959,1.383587935877993,1.2506768774561785,0.1537046812268864,-0.38461257153962686,-0.4220531027511604,-0.22704291429046686,1.3451764267034303,0.5950946867852729,0.6515012217864138,0.01809288204205555
16,-0.9313232630390894,-0.8537111356856154,-0.6765623577976695,0.2691571616621448,-0.09736502153830026,-0.9592312810163677,1.6563584988226212,1.3684469455279415,1.2506768774561785,0.3758723011902779,-0.561772555910986,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.5950946867852729,0.7960421530982053,-0.003069830203530868
32,-1.038886592221635,-0.950149687774286,-0.6013717795980118,0.6630635761935632,-0.09736502153830026,-1.3651766971972237,1.303056558205234,1.5047158586785092,1.2506768774561785,0.1537046812268864,-0.4505325657243186,-0.4220531027511604,-0.6351752151001705,1.3451764267034303,0.5950946867852729,0.9405830844099968,-0.0012706623186776117
48,-1.044862332731776,-0.9555073851125452,-0.5261812013983546,0.8590789110437209,-0.09736502153830026,-1.662870002396518,-1.4489796108144144,1.5804208104288362,1.2506768774561785,0.3758723011902779,-0.5823725540937021,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.5950946867852729,1.0851240157217883,-0.001135724727313618
64,-1.0508380732419176,-0.9608650824508047,-0.5825741350480976,0.7362176246065403,-0.09736502153830026,-1.311050641706443,1.684250757292415,1.6258437814790254,1.2506768774561785,0.3758723011902779,-0.6482925482783939,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.5950946867852729,1.2296649470335799,-0.0011244799280332848
80,-0.48314272477848397,-0.45188383531615584,-0.5136494383650781,-0.2658990514096983,-0.09736502153830026,-1.311050641706443,-0.7051860516199149,0.626538418374724,1.2506768774561785,0.3758723011902779,-0.47525256354357803,-0.4220531027511604,-0.6351752151001705,1.3451764267034303,0.7078346905642896,0.7960421530982053,-2.2489598560665735e-05
96,-0.5488758703900395,-0.51081850603701,-0.4760541492652493,-0.07551095105284608,-0.09736502153830026,-1.446365780433395,-0.8911344414185398,0.626538418374724,1.2506768774561785,0.3758723011902779,-0.6070925519129615,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,0.9405830844099968,-0.0013718655122006078
112,-0.5608273514103225,-0.521533900713529,-0.46978826774861154,-0.0422164803007857,-0.09736502153830026,-1.446365780433395,-0.8911344414185398,0.6568203990748617,1.2506768774561785,0.3758723011902779,-0.5246925591820968,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.0851240157217883,-0.0011469695265939508
128,-0.584730313450888,-0.5429646900665668,-0.45725650471533513,0.021558843956681964,-0.09736502153830026,-0.7968531145440253,0.0386075075745847,0.5811154473245348,1.2506768774561785,0.3758723011902779,-0.6482925482783939,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.2296649470335799,-0.0011132351287529523
144,-0.584730313450888,-0.5429646900665668,-0.4384588601654209,0.052039697462089585,-0.09736502153830026,0.1774158842900287,-0.07296152630459024,0.5962564376745864,1.2506768774561785,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.3742058783453712,-0.0010907455301922865
160,-0.6624149400827262,-0.6126147554639396,-0.3382047558992108,0.41124483261812067,-0.09736502153830026,-0.41797072610855995,0.0386075075745847,0.4751285148740702,1.1897120883294314,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.5187468096571628,-0.0011132351287529523
176,-0.7221723451841402,-0.6661917288465343,-0.28181182224946777,0.6466508089214204,-0.09736502153830026,-1.311050641706443,1.2379746217757153,0.4751285148740702,1.1897120883294314,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.6632877409689544,-0.0011469695265939508
192,-0.7699782692652717,-0.7090533075526102,-0.28181182224946777,0.7624780522419682,-0.09736502153830026,-0.0661513654184847,0.25244815584300334,0.3237186113734164,0.2996261670789215,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.8205746943433062,-1.6611536792022503,-0.0011582143258742836
208,-0.7699782692652717,-0.7090533075526102,-0.28181182224946777,0.769512095358601,-0.09736502153830026,-0.20146650414543665,0.28034041431279705,0.17230870787276256,1.2506768774561785,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.8205746943433062,-1.5166127478904587,-0.0011357247273136178
