,temp,feelslike,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,month,day,time,onefourtyfive_ago,onethirty_ago,onefifteen_ago,one_ago,fourtyfive_ago,thirty_ago,fifteen_ago,Percent Output
0,-0.8775415984478169,-0.8054918596412803,-0.7329552914474126,0.04406778192990604,-0.09736502153830026,-1.3651766971972237,1.340246236164959,1.383587935877993,1.2506768774561785,0.1537046812268864,-0.38461257153962686,-0.4220531027511604,-0.22704291429046686,1.3451764267034303,0.5950946867852729,0.6515012217864138,,,,,,,,0.01809288204205555
16,-0.9313232630390894,-0.8537111356856154,-0.6765623577976695,0.2691571616621448,-0.09736502153830026,-0.9592312810163677,1.6563584988226212,1.3684469455279415,1.2506768774561785,0.3758723011902779,-0.561772555910986,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.5950946867852729,0.7960421530982053,,,,,,,-0.5570289821342361,-0.003069830203530868
32,-1.038886592221635,-0.950149687774286,-0.6013717795980118,0.6630635761935632,-0.09736502153830026,-1.3651766971972237,1.303056558205234,1.5047158586785092,1.2506768774561785,0.1537046812268864,-0.4505325657243186,-0.4220531027511604,-0.6351752151001705,1.3451764267034303,0.5950946867852729,0.9405830844099968,,,,,,-0.5570918089867505,-0.6621384308548605,-0.0012706623186776117
48,-1.044862332731776,-0.9555073851125452,-0.5261812013983546,0.8590789110437209,-0.09736502153830026,-1.662870002396518,-1.4489796108144144,1.5804208104288362,1.2506768774561785,0.3758723011902779,-0.5823725540937021,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.5950946867852729,1.0851240157217883,,,,,-0.5571551235764655,-0.6621973608382946,-0.653202452217613,-0.001135724727313618
64,-1.0508380732419176,-0.9608650824508047,-0.5825741350480976,0.7362176246065403,-0.09736502153830026,-1.311050641706443,1.684250757292415,1.6258437814790254,1.2506768774561785,0.3758723011902779,-0.6482925482783939,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.5950946867852729,1.2296649470335799,,,,-0.5572200715827994,-0.6622568024200118,-0.653261713497037,-0.6525322538198194,-0.0011244799280332848
80,-0.48314272477848397,-0.45188383531615584,-0.5136494383650781,-0.2658990514096983,-0.09736502153830026,-1.311050641706443,-0.7051860516199149,0.626538418374724,1.2506768774561785,0.3758723011902779,-0.47525256354357803,-0.4220531027511604,-0.6351752151001705,1.3451764267034303,0.7078346905642896,0.7960421530982053,,,-0.5571870063178479,-0.6623179593871097,-0.6533214843461717,-0.6525915399464426,-0.6524764039533365,-2.2489598560665735e-05
96,-0.5488758703900395,-0.51081850603701,-0.4760541492652493,-0.07551095105284608,-0.09736502153830026,-1.446365780433395,-0.8911344414185398,0.626538418374724,1.2506768774561785,0.3758723011902779,-0.6070925519129615,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,0.9405830844099968,,-0.5570590311261003,-0.6622781460235919,-0.6533829636120355,-0.6526513354906337,-0.6525356921505596,-0.6470031170380224,-0.0013718655122006078
112,-0.5608273514103225,-0.521533900713529,-0.46978826774861154,-0.0422164803007857,-0.09736502153830026,-1.446365780433395,-0.8911344414185398,0.6568203990748617,1.2506768774561785,0.3758723011902779,-0.5246925591820968,-0.5364203312972504,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.0851240157217883,-0.5569081067266439,-0.6621500529173899,-0.6533437239444639,-0.6527128389289051,-0.652595489752672,-0.6470626081540394,-0.6537051010159581,-0.0011469695265939508
128,-0.584730313450888,-0.5429646900665668,-0.45725650471533513,0.021558843956681964,-0.09736502153830026,-0.7968531145440253,0.0386075075745847,0.5811154473245348,1.2506768774561785,0.3758723011902779,-0.6482925482783939,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.2296649470335799,-0.6620159755076597,-0.6532156408628701,-0.6526736422885293,-0.6526569952053107,-0.6471226074324449,-0.6537643436599827,-0.6525881036863022,-0.0011132351287529523
144,-0.584730313450888,-0.5429646900665668,-0.4384588601654209,0.052039697462089585,-0.09736502153830026,0.1774158842900287,-0.07296152630459024,0.5962564376745864,1.2506768774561785,0.3758723011902779,-0.6524125479149371,-0.6507875598433404,-0.6351752151001705,1.3451764267034303,0.7078346905642896,1.3742058783453712,-0.6530801311904639,-0.6525455599587812,-0.6526178021505347,-0.6471843102930778,-0.6538240959878252,-0.6526473877423254,-0.6524205540868537,-0.0010907455301922865
