,temp,feelslike,dew,humidity,precip,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,year,month,day,time,Percent Output
368,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.3204761904761905
369,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.25557299843014125
370,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.2984797297297297
371,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.24397031539888683
372,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.22368
373,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.32743652743652746
374,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.24933333333333332
375,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.15384615384615383
376,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.2883265306122449
377,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.2858181818181818
378,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.39841628959276015
379,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.2968058968058968
380,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.31761904761904763
381,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.34635568513119536
382,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.34305555555555556
383,65.0,65.0,57.8,77.51,0.0,0,0,18.3,7.6,238.0,1014.9,100.0,9.9,279.0,1.0,3.0,2018,11,23,11.0,0.2826666666666667
384,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.5553968253968254
385,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4315541601255887
386,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.5155405405405405
387,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.450834879406308
388,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.34976
389,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.5112203112203112
390,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4095238095238095
391,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.2554160125588697
392,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4604081632653061
393,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.48472727272727273
394,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.38552036199095024
395,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4797706797706797
396,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.5515873015873016
397,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.5597667638483965
398,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4430555555555556
399,70.2,70.2,58.4,66.33,0.0,0,0,16.1,7.0,232.0,1013.2,41.5,9.9,432.0,1.6,4.0,2018,11,23,12.0,0.4613333333333334
