dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,egauge_1s_min_time,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines,energy_storage_system,energy_storage_system_l1,energy_storage_system_l2
"The unique identifier for the home. To be more precise, this is the unique identifier for the home-resident pair. Thus, if a resident moves, the data collected from the house is associated with a new data ID.",this field will show yes if this participant is currently enrolled with Pecan Street and will be blank otherwise.,"This field will read Single-Family Home if this is a freestanding single-family home, Town Home if it is a home that shares at least one wall with a neighboring house, or Apartment if it is an apartment.",participant's city,participant's state,"If eGauge electricity data is present, this field will show the minimum timestamp of the available data.","If eGauge electricity data is present, this field will show the maximum timestamp of the available data.",This field shows how much one minute data  is available for each home.,"If eGauge electricity data is present in one second interval, this field will show the minimum timestamp of the available data.","If eGauge electricity data is present in one second interval, this field will show the maximum timestamp of the available data.",This field shows how much one second data  is available for each home.,Air compressor circuit eGauge data present.,Second air compressor circuit eGauge data present.,Third air compressor circuit eGauge data present.,Window unit air conditioner circuit eGauge data present.,Aquarium circuit eGauge data present.,"First bathroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Second bathroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","First bedroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Second bedroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Third bedroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Fourth bedroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Fifth bedroom circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.",Whole home battery with a dedicated circuit eGauge data present. Battery is able to charge and discharge.,Electric vehicle charger eGauge data present for first car.,Electric vehicle charger eGauge data present for second car.,"eGauge data present for a pump used to circulate gasses,liquids, or slurries in a closed circuit. They are commonly found circulating water in a hydronic heating or cooling system.",Stand-alone clothes washing machine eGauge data present.,Clothes washing machine and natural gas-powered dryer circuit eGauge data present.,"Dining room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Additional dining room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.",Dishwasher circuit eGauge data present.,Kitchen sink garbage disposal circuit eGauge data present.,Electricity -powered clothes dryer (240V circuit) eGauge data present.,"Natural gas-powered clothes dryer (120V circuit) eGauge data present. The eGauge will only pick up the electricity use from the dryer’s drum rotation, not the gas heating signature.",Stand-alone freezer circuit eGauge data present.,Furnace and air handler circuit eGauge data present.,Second furnace and air handler eGauge data present.,"Garage circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Additional garage circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.",eGauge data present measuring power drawn from or fed to the electrical grid.,"eGauge data present for electric stand alone heater. Can include dedicated circuit space heaters, baseboard heaters, electric radiant floor heating.","eGauge data present for second electric stand alone heater. Can include dedicated circuit space heaters, baseboard heaters, electric radiant floor heating.","eGauge data present for third electric stand alone heater. Can include dedicated circuit space heaters, baseboard heaters, electric radiant floor heating.",Whole home fan circuit eGauge data present.,Stand-alone icemaker circuit eGauge data present.,Jacuzzi bathtub or hot tub eGauge data present.,"Kitchen circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Additional kitchen circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","First kitchen small appliance circuit eGauge data present. This type of circuit includes only wall outlets in the kitchen, and so may include toasters, coffee makers, blenders, etc.","Second kitchen small appliance circuit eGauge data present. This type of circuit includes only wall outlets in the kitchen, and so may include toasters, coffee makers, blenders, etc.","General lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Second general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Third general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Fourth general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Fifth general lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Sixth lighting and plugs circuit eGauge data present. This type of circuit includes lights, fans, and wall outlets, often from multiple rooms in the home.","Living room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.","Additional living room circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets.",Microwave circuit eGauge data present.,"Home office circuit eGauge data present. This type of circuit includes only lights, fans, and wall outlets. Computers may be common devices plugged into included any wall outlets included on this type of circuit.",Exterior lighting and plugs circuit eGauge data present.,Additional exterior lighting and plugs circuit eGauge data present.,Oven circuit eGauge data present.,Second oven circuit eGauge data present.,Combination pool pump and\or pool auxiliary power circuit eGauge data present.,second Combination pool pump and\or pool auxiliary power circuit eGauge data present.,Pool lighting circuit eGauge data present.,Pool pump circuit eGauge data present.,"eGauge data present for any type of pump that is not a pool pump. Not used to pump wells, sewers, or pools.",Range (either a stand-alone cooktop or a cooktop and an oven) circuit eGauge data present.,Refrigerator circuit eGauge data present.,Second refrigerator circuit eGauge data present.,Security system circuit eGauge data present.,eGauge data present for a dedicated circuit monitoring sewer pump. If If house is not connected to city service it is a sewer pump for pumping into a septic tank.,Shed circuit eGauge data present.,eGauge data present for power generated by a solar photovoltaic system.,eGauge data present for power generated by second solar photovoltaic system.,Sprinkler system circuit eGauge data present.,"eGauge data present for a pump used to remove water that has accumulated in a water-collecting sump basin, commonly found in the basement of homes.",Utility room circuit eGauge data present.,Vent hood circuit eGauge data present.,Electric water heater eGauge data present.,Second electric water heater eGauge data present.,Wine cooler circuit eGauge data present.,eGauge data present for water pump to pump water out of water well.,"If ERT water data is present, this field will show the minimum timestamp of the available data.","If ERT water data is present, this field will show the maximum timestamp of the available data.",This field shows how much water data is available for each home.,"If ERT gas data is present, this field will show the minimum timestamp of the available data.","If ERT gas data is present, this field will show the maximum timestamp of the available data.",This field shows how much gas data is available for each home.,"If indoor temperature sensor data is present, this field will show the minimum timestamp of the available data.","If indoor temperature sensor data is present, this field will show the maximum timestamp of the available data.",This field shows how much indoor temperature data is available for each home.,The date on which this participant enrolled with Pecan Street.,"The date on which this participant withdrew from participating with Pecan Street. If this field is blank, the participant is still enrolled.",The year in which this home was constructed.,The total square footage of the home.,The square footage of the first floor of the home.,"The square footage of the second floor of the home. If this field is blank and this home’s first floor square footage is indicated, there is no second floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.","The square footage of the third floor of the home. If this field is blank and this home’s first floor square footage is indicated, there is no third floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.","The square footage of a half floor in the home. If this field is blank and this home’s first floor square footage is indicated, there is no half floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.","The square footage of a lower level floor in the home. If this field is blank and this home’s first floor square footage is indicated, there is no lower level floor. If the first floor square footage is not indicated, the number of floors of the home is unknown.",This field will show 'yes' if this participant has a solar photovoltaic system installed at their home and will be blank otherwise.,pv_panel_direction. Direction solar panels are facing,Size of pv system.,Size of pv system facing south .,Size of pv system facing west .,Size of pv system facing east .,"The number of Nest thermostats installed at the residence. If blank, this participant is not known to have a Nest thermostat in their home.",This field will show 'yes' if a 2011 home energy audit is available for this house.,This field will show 'yes' if a 2013 or later home energy audit is available for this house.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2011 and will be blank otherwise.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2012 and will be blank otherwise.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2013 and will be blank otherwise.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2014 and will be blank otherwise.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2017 and will be blank otherwise.,This field will show 'yes' if this participant completed the annual Pecan Street survey in 2019 and will be blank otherwise.,This field will show 'yes' if this participant is part of the 579 program and will be blank otherwise. The defining feature of the 579 program is that it includes participants in Texas outside the Austin area.,"This field will show 'yes' if this participant is part of the Baseline program and will be blank otherwise. Baseline program participants were part of a behavioral study in which they were not allowed to see their data for the first year of the study (2011- 2012) and then were given a report with the details of their energy use. Data was collected for another year (2012-2013) for comparison, to see whether the participants reduced their energy use.","This field will show 'yes' if this participant is part of the Energy Internet Demonstration program, which includes most Austin, Texas participants enrolled prior to 2014.","This field will show 'yes' if this participant is part of the LG Appliance Trial and will be blank otherwise. These participants received new washers, dryers, and, in some cases, refrigerators as part of the trial. If the participant previously had a natural gas dryer monitored on their eGauge, it will have been replaced with an electric dryer at the time of the trial.","This field will show 'yes' if this participant is part of the Verizon program, which involves exclusively residents of four low-income apartment complexes in Austin, Texas. Most of these participants do not have home internet access, so each household was given a tablet to facilitate their ability to view their energy use on their eGauge monitoring system from home.","This field will show one of the following group labels if the participant was a member of the CCET Trial:CCET Control, CCET Portal Only, CCET Pricing Trial, CCET Text Message, CCET UT Text, The Control group was not affected by or informed of the study.Portal Only participants received access to the special portal displaying their experimental account balance (and thus knowledge of how the experimental pricing scheme would have affected them), but they did not receive a financial incentive as part of the study.ricing Trial participants received a financial incentive for shifting their electricity use away from peak hours on critical peak pricing days and shifting their electricity use toward wind-enhancement hours during the wind enhancement period of the study. They had access to a special portal that displayed their experimental account balance.Text Message participants received text messages asking them to reduce their energy consumption in general on peak days.UT Text participants received text messages asking them to restrict usage of specific appliances on peak days.","This field will show one of the following group labels if the participant is a member of the Civita project:Civita Control, Civita Text Message, Text Message participants received text messages asking them to conserve energy in various ways. Control group participants were not affected.",This field will show 'yes' if this participant is part of Shines program. For more information check out our blog here.,eGauge data present for a battery or other type of storage system. 'yes' if present blank otherwise.,eGauge data present for leg 1 of a battery or other type of storage system. 'yes' if present blank otherwise.,eGauge data present for leg 2 of a battery or other type of storage system. 'yes' if present blank otherwise.
2836,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2011-03-19,1994.0,2796.0,1476.0,1320.0,0.0,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,
2743,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2011-09-01,1949.0,1590.0,1590.0,0.0,0.0,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,
5323,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2011-11-29,2008.0,1185.0,602.0,583.0,0.0,,,,,,,,,,yes,,,,,,,,,yes,yes,,,,,,,,
8560,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2012-02-01,2009.0,2001.0,1435.0,566.0,0.0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
3313,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2012-04-30,2007.0,2001.0,1435.0,566.0,0.0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
5052,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2012-08-30,2008.0,1185.0,602.0,583.0,0.0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
3936,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2012-08-31,2007.0,2134.0,1162.0,972.0,0.0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
1622,,Town Home,Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-01,2012-10-01,2008.0,1576.0,778.0,798.0,0.0,,,,,,,,,,yes,,yes,,,,,,,yes,yes,,,,,,,,
1114,,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,2012-04-11 18:59:06-05:00,2013-01-06 17:58:33-06:00,100%,,,,2011-02-01,2013-01-07,2007.0,2122.0,1162.0,960.0,0.0,,,yes,South,5.25,5.25,0.0,,,yes,,yes,,yes,,,,,yes,yes,,,,,,,,
