Cluster,building_id,use_type,gross_square_footage,Priority
PHR_E_TBU_CD,465,Laboratory,132425.0,1
JES_E_TBU_CD,598,Food Service,179357.0,1
BEL_E_TBU_CD,418,Public Assembly,404131.0,3
KIN_E_TBU_CD,346,Lodging,233937.0,2
LTD_E_TBU_CD,369,Lodging,57334.0,2
SRH_E_TBU_CD,118,Library,282279.0,3
NST_E_TBU_CD,242,Laboratory,69394.0,1
ERC_E_TBU_CD,450,Public Assembly,503424.0,3
MAI_E_TBU_CD,393,Office,326231.0,3
BMA_E_TBU_CD,114,Exhibition,135359.0,3
TSC_E_TBU_CD,419,Public Assembly,104166.0,3
GAR_E_TBU_CD,249,Classroom,51822.0,2
CPE_E_TBU_CD,231,Laboratory,225567.0,1
NHB_E_TBU_CD,470,Laboratory,311270.0,1
BTL_E_TBU_CD,65,Library,46348.0,3
RSC_E_TBU_CD,422,Public Assembly,119540.0,3
PHD_E_TBU_CD,497,Lodging,44836.0,2
NUR_E_TBU_CD,8008,Classroom,112728.0,2
MEZ_E_TBU_CD,425,Classroom,91629.0,2
GDC_E_TBU_CD,152,Classroom,239778.0,2
NMS_E_TBU_CD,741,Laboratory,198488.0,1
GRE_E_TBU_CD,273,Public Assembly,262826.0,3
GOL_E_TBU_CD,17,Classroom,84041.0,2
SUT_E_TBU_CD,585,Classroom,59498.0,2
MRH_E_TBU_CD,131,Classroom,216697.0,2
PMA_E_TBU_CD,116,Laboratory,380852.0,1
AHG_E_TBU_CD,657,Classroom,63470.0,2
UIL_E_TBU_CD,164,Office,34072.0,3
SSB_E_TBU_CD,980,Health Care,192791.0,1
LLF_E_TBU_CD,668,Lodging,8079.0,2
BAT_E_TBU_CD,73,Office,39143.0,3
SEA_E_TBU_CD,985,Office,193860.0,3
CRD_E_TBU_CD,129,Lodging,39649.0,2
GEA_E_TBU_CD,305,Classroom,60621.0,2
PAI_E_TBU_CD,473,Laboratory,128902.0,1
JHH_E_TBU_CD,737,Office,20917.0,3
WIN_E_TBU_CD,201,Classroom,108239.0,2
MHD_E_TBU_CD,427,Lodging,86655.0,2
ASE_E_TBU_CD,983,Laboratory,86797.0,1
DCP_E_TBU_CD,451,Public Assembly,44564.0,3
CAL_E_TBU_CD,954,Classroom,55077.0,2
UA9_E_TBU_CD,984,Office,34788.0,3
PAT_E_TBU_CD,952,Laboratory,155882.0,1
LFH_E_TBU_CD,377,Office,16135.0,3
COM_E_TBU_CD,178,Computer,14561.0,2
GWB_E_TBU_CD,645,Office,42951.0,3
PAR_E_TBU_CD,233,Classroom,56489.0,2
BRB_E_TBU_CD,457,Classroom,50894.0,2
SSW_E_TBU_CD,625,Office,93966.0,3
CRH_E_TBU_CD,562,Lodging,39649.0,2
GSB_E_TBU_CD,106,Classroom,147205.0,2
PCL_E_TBU_CD,559,Library,493601.0,3
JGB_E_TBU_CD,950,Laboratory,199885.0,1
BME_E_TBU_CD,136,Laboratory,202937.0,1
HMA_E_TBU_CD,297,Public Assembly,24992.0,3
AND_E_TBU_CD,9,Lodging,41221.0,2
CMA_E_TBU_CD,180,Classroom,111623.0,2
MBB_E_TBU_CD,740,Laboratory,177216.0,1
BEN_E_TBU_CD,81,Classroom,38580.0,2
LTH_E_TBU_CD,665,Public Assembly,5682.0,3
ETC_E_TBU_CD,230,Laboratory,229778.0,1
DFF_E_TBU_CD,9822,Public Assembly,103173.0,3
JCD_E_TBU_CD,599,Lodging,745685.0,2
BUR_E_TBU_CD,99,Classroom,101502.0,2
LLD_E_TBU_CD,666,Lodging,8051.0,2
UTX_E_TBU_CD,990,Public Assembly,82939.0,3
EPS_E_TBU_CD,153,Classroom,52559.0,2
CBA_E_TBU_CD,107,Classroom,245705.0,2
ART_E_TBU_CD,49,Classroom,158853.0,2
UNB_E_TBU_CD,609,Public Assembly,171276.0,3
WAG_E_TBU_CD,649,Classroom,57811.0,2
UPB_E_TBU_CD,634,Office,24440.0,3
WMB_E_TBU_CD,652,Classroom,46290.0,2
RRH_E_TBU_CD,108,Public Assembly,346779.0,3
DFA_E_TBU_CD,130,Library,91286.0,3
ARC_E_TBU_CD,135,Laboratory,110235.0,1
WEL_E_TBU_CD,161,Laboratory,429830.0,1
LLA_E_TBU_CD,669,Lodging,11350.0,2
FAC_E_TBU_CD,605,Office,205995.0,3
PAC_E_TBU_CD,132,Public Assembly,261517.0,3
HRH_E_TBU_CD,433,Public Assembly,54405.0,3
BIO_E_TBU_CD,89,Laboratory,69905.0,1
CCJ_E_TBU_CD,603,Classroom,37775.0,2
CDL_E_TBU_CD,162,Library,64749.0,3
ECJ_E_TBU_CD,227,Laboratory,239152.0,1
EER_E_TBU_CD,223,Laboratory,454422.0,1
BMS_E_TBU_CD,115,Office,59511.0,3
SAC_E_TBU_CD,278,Public Assembly,153992.0,3
UTC_E_TBU_CD,500,Classroom,168696.0,2
WCH_E_TBU_CD,257,Office,51483.0,3
WWH_E_TBU_CD,40,Office,38173.0,3
ANB_E_TBU_CD,722,Office,8004.0,3
SZB_E_TBU_CD,25,Classroom,261467.0,2
BMC_E_TBU_CD,185,Classroom,126077.0,2
CMB_E_TBU_CD,182,Public Assembly,125169.0,3
HSM_E_TBU_CD,183,Public Assembly,26033.0,3
NEZ_E_TBU_CD,9716,Public Assembly,602869.0,3
HRC_E_TBU_CD,310,Library,252268.0,3
BLD_E_TBU_CD,98,Lodging,69754.0,2
ADH_E_TBU_CD,347,Lodging,176878.0,2
LLB_E_TBU_CD,670,Lodging,10346.0,2
GEB_E_TBU_CD,569,Office,31233.0,3
JON_E_TBU_CD,602,Library,216072.0,3
TNH_E_TBU_CD,601,Classroom,167009.0,2
LLE_E_TBU_CD,667,Lodging,8079.0,2
ATT_E_TBU_CD,27,Lodging,344798.0,2
RLP_E_TBU_CD,540,Office,212536.0,3
SJH_E_TBU_CD,502,Lodging,301307.0,2
CSB_E_TBU_CD,452,Public Assembly,1593.0,3
TCC_E_TBU_CD,119,Public Assembly,52357.0,3
TMM_E_TBU_CD,593,Exhibition,35356.0,3
POB_E_TBU_CD,224,Office,181805.0,3
LLC_E_TBU_CD,671,Lodging,11227.0,2
