building,tag,building_id,use_type,gross_square_footage
PHR,PHR_E_TBU_CD,0465,Laboratory,132425.0
JES,JES_E_TBU_CD,0598,Food Service,179357.0
BEL,BEL_E_TBU_CD,0418,Public Assembly,404131.0
KIN,KIN_E_TBU_CD,0346,Lodging,233937.0
LTD,LTD_E_TBU_CD,0369,Lodging,57334.0
SRH,SRH_E_TBU_CD,0118,Library,282279.0
NST,NST_E_TBU_CD,0242,Laboratory,69394.0
CRB,CRB_E_TBU_CD,0160,Computer,29961.0
ERC,ERC_E_TBU_CD,0450,Public Assembly,503424.0
MAI,MAI_E_TBU_CD,0393,Office,326231.0
BMA,BMA_E_TBU_CD,0114,Exhibition,135359.0
MMS,MMS_E_TBU_CD,9712,Public Assembly,16052.0
TSC,TSC_E_TBU_CD,0419,Public Assembly,104166.0
LBJ,LBJ_E_TBU_CD,0113,Library,170607.0
SHD,SHD_E_TBU_CD,0562,Lodging,39649.0
GAR,GAR_E_TBU_CD,0249,Classroom,51822.0
CPE,CPE_E_TBU_CD,0231,Laboratory,225567.0
NHB,NHB_E_TBU_CD,0470,Laboratory,311270.0
MFH,MFH_E_TBU_CD,0416,Public Assembly,25637.0
BTL,BTL_E_TBU_CD,0065,Library,46348.0
RSC,RSC_E_TBU_CD,0422,Public Assembly,119540.0
RLM,RLM_E_TBU_CD,0116,Laboratory,380852.0
PHD,PHD_E_TBU_CD,0497,Lodging,44836.0
NUR,NUR_E_TBU_CD,8008,Classroom,112728.0
MEZ,MEZ_E_TBU_CD,0425,Classroom,91629.0
TTC,TTC_E_TBU_CD,9825,Public Assembly,24053.0
GDC,GDC_E_TBU_CD,0152,Classroom,239778.0
NMS,NMS_E_TBU_CD,0741,Laboratory,198488.0
GRE,GRE_E_TBU_CD,0273,Public Assembly,262826.0
GOL,GOL_E_TBU_CD,0017,Classroom,84041.0
SUT,SUT_E_TBU_CD,0585,Classroom,59498.0
MRH,MRH_E_TBU_CD,0131,Classroom,216697.0
PMA,PMA_E_TBU_CD,0116,Laboratory,380852.0
AHG,AHG_E_TBU_CD,0657,Classroom,63470.0
UIL,UIL_E_TBU_CD,0164,Office,34072.0
SSB,SSB_E_TBU_CD,0980,Health Care,192791.0
LLF,LLF_E_TBU_CD,0668,Lodging,8079.0
BAT,BAT_E_TBU_CD,0073,Office,39143.0
SEA,SEA_E_TBU_CD,0985,Office,193860.0
CRD,CRD_E_TBU_CD,0129,Lodging,39649.0
GEA,GEA_E_TBU_CD,0305,Classroom,60621.0
PAI,PAI_E_TBU_CD,0473,Laboratory,128902.0
JHH,JHH_E_TBU_CD,0737,Office,20917.0
WIN,WIN_E_TBU_CD,0201,Classroom,108239.0
MHD,MHD_E_TBU_CD,0427,Lodging,86655.0
ASE,ASE_E_TBU_CD,0983,Laboratory,86797.0
DCP,DCP_E_TBU_CD,0451,Public Assembly,44564.0
CAL,CAL_E_TBU_CD,0954,Classroom,55077.0
UA9,UA9_E_TBU_CD,0984,Office,34788.0
PAT,PAT_E_TBU_CD,0952,Laboratory,155882.0
LFH,LFH_E_TBU_CD,0377,Office,16135.0
COM,COM_E_TBU_CD,0178,Computer,14561.0
GWB,GWB_E_TBU_CD,0645,Office,42951.0
PAR,PAR_E_TBU_CD,0233,Classroom,56489.0
BRB,BRB_E_TBU_CD,0457,Classroom,50894.0
SSW,SSW_E_TBU_CD,0625,Office,93966.0
CRH,CRH_E_TBU_CD,0562,Lodging,39649.0
HDB,HDB_E_TBU_CD,0700,Laboratory,289701.0
GSB,GSB_E_TBU_CD,0106,Classroom,147205.0
PCL,PCL_E_TBU_CD,0559,Library,493601.0
JGB,JGB_E_TBU_CD,0950,Laboratory,199885.0
BME,BME_E_TBU_CD,0136,Laboratory,202937.0
HMA,HMA_E_TBU_CD,0297,Public Assembly,24992.0
AND,AND_E_TBU_CD,0009,Lodging,41221.0
CMA,CMA_E_TBU_CD,0180,Classroom,111623.0
MBB,MBB_E_TBU_CD,0740,Laboratory,177216.0
HLB,HLB_E_TBU_CD,0702,Office,86209.0
BEN,BEN_E_TBU_CD,0081,Classroom,38580.0
LTH,LTH_E_TBU_CD,0665,Public Assembly,5682.0
ETC,ETC_E_TBU_CD,0230,Laboratory,229778.0
DFF,DFF_E_TBU_CD,9822,Public Assembly,103173.0
JCD,JCD_E_TBU_CD,0599,Lodging,745685.0
BUR,BUR_E_TBU_CD,0099,Classroom,101502.0
LLD,LLD_E_TBU_CD,0666,Lodging,8051.0
UTX,UTX_E_TBU_CD,0990,Public Assembly,82939.0
EPS,EPS_E_TBU_CD,0153,Classroom,52559.0
CBA,CBA_E_TBU_CD,0107,Classroom,245705.0
ART,ART_E_TBU_CD,0049,Classroom,158853.0
UNB,UNB_E_TBU_CD,0609,Public Assembly,171276.0
WAG,WAG_E_TBU_CD,0649,Classroom,57811.0
UPB,UPB_E_TBU_CD,0634,Office,24440.0
WMB,WMB_E_TBU_CD,0652,Classroom,46290.0
RRH,RRH_E_TBU_CD,0108,Public Assembly,346779.0
RHD,RHD_E_TBU_CD,0537,Lodging,45528.0
DFA,DFA_E_TBU_CD,0130,Library,91286.0
BHD,BHD_E_TBU_CD,0105,Lodging,35776.0
PPB,PPB_E_TBU_CD,0637,Office,83708.0
ARC,ARC_E_TBU_CD,0135,Laboratory,110235.0
WEL,WEL_E_TBU_CD,0161,Laboratory,429830.0
LLA,LLA_E_TBU_CD,0669,Lodging,11350.0
FAC,FAC_E_TBU_CD,0605,Office,205995.0
PAC,PAC_E_TBU_CD,0132,Public Assembly,261517.0
HRH,HRH_E_TBU_CD,0433,Public Assembly,54405.0
BIO,BIO_E_TBU_CD,0089,Laboratory,69905.0
CCJ,CCJ_E_TBU_CD,0603,Classroom,37775.0
