Cluster,Priority
PHR_E_TBU_CD,Laboratory
JES_E_TBU_CD,Food Service
BEL_E_TBU_CD,Public Assembly
KIN_E_TBU_CD,Lodging
LTD_E_TBU_CD,Lodging
SRH_E_TBU_CD,Library
NST_E_TBU_CD,Laboratory
CRB_E_TBU_CD,Computer
ERC_E_TBU_CD,Public Assembly
MAI_E_TBU_CD,Office
BMA_E_TBU_CD,Exhibition
MMS_E_TBU_CD,Public Assembly
TSC_E_TBU_CD,Public Assembly
LBJ_E_TBU_CD,Library
SHD_E_TBU_CD,Lodging
GAR_E_TBU_CD,Classroom
CPE_E_TBU_CD,Laboratory
NHB_E_TBU_CD,Laboratory
MFH_E_TBU_CD,Public Assembly
BTL_E_TBU_CD,Library
RSC_E_TBU_CD,Public Assembly
RLM_E_TBU_CD,Laboratory
PHD_E_TBU_CD,Lodging
NUR_E_TBU_CD,Classroom
MEZ_E_TBU_CD,Classroom
TTC_E_TBU_CD,Public Assembly
GDC_E_TBU_CD,Classroom
NMS_E_TBU_CD,Laboratory
GRE_E_TBU_CD,Public Assembly
GOL_E_TBU_CD,Classroom
SUT_E_TBU_CD,Classroom
MRH_E_TBU_CD,Classroom
PMA_E_TBU_CD,Laboratory
AHG_E_TBU_CD,Classroom
UIL_E_TBU_CD,Office
SSB_E_TBU_CD,Health Care
LLF_E_TBU_CD,Lodging
BAT_E_TBU_CD,Office
SEA_E_TBU_CD,Office
CRD_E_TBU_CD,Lodging
GEA_E_TBU_CD,Classroom
PAI_E_TBU_CD,Laboratory
JHH_E_TBU_CD,Office
WIN_E_TBU_CD,Classroom
MHD_E_TBU_CD,Lodging
ASE_E_TBU_CD,Laboratory
DCP_E_TBU_CD,Public Assembly
CAL_E_TBU_CD,Classroom
UA9_E_TBU_CD,Office
PAT_E_TBU_CD,Laboratory
LFH_E_TBU_CD,Office
COM_E_TBU_CD,Computer
GWB_E_TBU_CD,Office
PAR_E_TBU_CD,Classroom
BRB_E_TBU_CD,Classroom
SSW_E_TBU_CD,Office
CRH_E_TBU_CD,Lodging
HDB_E_TBU_CD,Laboratory
GSB_E_TBU_CD,Classroom
PCL_E_TBU_CD,Library
JGB_E_TBU_CD,Laboratory
BME_E_TBU_CD,Laboratory
HMA_E_TBU_CD,Public Assembly
AND_E_TBU_CD,Lodging
CMA_E_TBU_CD,Classroom
MBB_E_TBU_CD,Laboratory
HLB_E_TBU_CD,Office
BEN_E_TBU_CD,Classroom
LTH_E_TBU_CD,Public Assembly
ETC_E_TBU_CD,Laboratory
DFF_E_TBU_CD,Public Assembly
JCD_E_TBU_CD,Lodging
BUR_E_TBU_CD,Classroom
LLD_E_TBU_CD,Lodging
UTX_E_TBU_CD,Public Assembly
EPS_E_TBU_CD,Classroom
CBA_E_TBU_CD,Classroom
ART_E_TBU_CD,Classroom
UNB_E_TBU_CD,Public Assembly
WAG_E_TBU_CD,Classroom
UPB_E_TBU_CD,Office
WMB_E_TBU_CD,Classroom
RRH_E_TBU_CD,Public Assembly
RHD_E_TBU_CD,Lodging
DFA_E_TBU_CD,Library
BHD_E_TBU_CD,Lodging
PPB_E_TBU_CD,Office
ARC_E_TBU_CD,Laboratory
WEL_E_TBU_CD,Laboratory
LLA_E_TBU_CD,Lodging
FAC_E_TBU_CD,Office
PAC_E_TBU_CD,Public Assembly
HRH_E_TBU_CD,Public Assembly
BIO_E_TBU_CD,Laboratory
CCJ_E_TBU_CD,Classroom
CDL_E_TBU_CD,Library
FC3_E_TBU_CD,Service
ECJ_E_TBU_CD,Laboratory
FC2_E_TBU_CD,Service
EER_E_TBU_CD,Laboratory
BMS_E_TBU_CD,Office
SAC_E_TBU_CD,Public Assembly
UTC_E_TBU_CD,Classroom
WRW_E_TBU_CD,Laboratory
WCH_E_TBU_CD,Office
WWH_E_TBU_CD,Office
ANB_E_TBU_CD,Office
SZB_E_TBU_CD,Classroom
BMC_E_TBU_CD,Classroom
CMB_E_TBU_CD,Public Assembly
HSM_E_TBU_CD,Public Assembly
NEZ_E_TBU_CD,Public Assembly
HTB_E_TBU_CD,Health Care
HRC_E_TBU_CD,Library
BLD_E_TBU_CD,Lodging
ADH_E_TBU_CD,Lodging
LLB_E_TBU_CD,Lodging
GEB_E_TBU_CD,Office
JON_E_TBU_CD,Library
TNH_E_TBU_CD,Classroom
LLE_E_TBU_CD,Lodging
SOF_E_TBU_CD,Service
ATT_E_TBU_CD,Lodging
RLP_E_TBU_CD,Office
SJH_E_TBU_CD,Lodging
CSB_E_TBU_CD,Public Assembly
TCC_E_TBU_CD,Public Assembly
TMM_E_TBU_CD,Exhibition
STD_E_TBU_CD,Public Assembly
MNC_E_TBU_CD,Public Assembly
LDH_E_TBU_CD,Food Service
POB_E_TBU_CD,Office
LLC_E_TBU_CD,Lodging
