timestamp,value,tag,human_timestamp
1514786400000,0.0,UA9_E_TBU_CD,2018-01-01 06:00:00+00:00
1514787300000,4.0,UA9_E_TBU_CD,2018-01-01 06:15:00+00:00
1514788200000,9.0,UA9_E_TBU_CD,2018-01-01 06:30:00+00:00
1514789100000,13.0,UA9_E_TBU_CD,2018-01-01 06:45:00+00:00
1514790000000,17.0,UA9_E_TBU_CD,2018-01-01 07:00:00+00:00
1514790900000,21.0,UA9_E_TBU_CD,2018-01-01 07:15:00+00:00
1514791800000,25.0,UA9_E_TBU_CD,2018-01-01 07:30:00+00:00
1514792700000,29.0,UA9_E_TBU_CD,2018-01-01 07:45:00+00:00
1514793600000,33.0,UA9_E_TBU_CD,2018-01-01 08:00:00+00:00
1514794500000,37.0,UA9_E_TBU_CD,2018-01-01 08:15:00+00:00
1514795400000,42.0,UA9_E_TBU_CD,2018-01-01 08:30:00+00:00
1514796300000,46.0,UA9_E_TBU_CD,2018-01-01 08:45:00+00:00
1514797200000,49.0,UA9_E_TBU_CD,2018-01-01 09:00:00+00:00
1514798100000,54.0,UA9_E_TBU_CD,2018-01-01 09:15:00+00:00
1514799000000,58.0,UA9_E_TBU_CD,2018-01-01 09:30:00+00:00
1514799900000,62.0,UA9_E_TBU_CD,2018-01-01 09:45:00+00:00
1514800800000,66.0,UA9_E_TBU_CD,2018-01-01 10:00:00+00:00
1514801700000,70.0,UA9_E_TBU_CD,2018-01-01 10:15:00+00:00
1514802600000,74.0,UA9_E_TBU_CD,2018-01-01 10:30:00+00:00
1514803500000,78.0,UA9_E_TBU_CD,2018-01-01 10:45:00+00:00
1514804400000,82.0,UA9_E_TBU_CD,2018-01-01 11:00:00+00:00
1514805300000,87.0,UA9_E_TBU_CD,2018-01-01 11:15:00+00:00
1514806200000,91.0,UA9_E_TBU_CD,2018-01-01 11:30:00+00:00
1514807100000,95.0,UA9_E_TBU_CD,2018-01-01 11:45:00+00:00
1514808000000,99.0,UA9_E_TBU_CD,2018-01-01 12:00:00+00:00
1514808900000,103.0,UA9_E_TBU_CD,2018-01-01 12:15:00+00:00
1514809800000,107.0,UA9_E_TBU_CD,2018-01-01 12:30:00+00:00
1514810700000,111.0,UA9_E_TBU_CD,2018-01-01 12:45:00+00:00
1514811600000,115.0,UA9_E_TBU_CD,2018-01-01 13:00:00+00:00
1514812500000,119.0,UA9_E_TBU_CD,2018-01-01 13:15:00+00:00
1514813400000,123.0,UA9_E_TBU_CD,2018-01-01 13:30:00+00:00
1514814300000,127.0,UA9_E_TBU_CD,2018-01-01 13:45:00+00:00
1514815200000,131.0,UA9_E_TBU_CD,2018-01-01 14:00:00+00:00
1514816100000,135.0,UA9_E_TBU_CD,2018-01-01 14:15:00+00:00
1514817000000,140.0,UA9_E_TBU_CD,2018-01-01 14:30:00+00:00
1514817900000,144.0,UA9_E_TBU_CD,2018-01-01 14:45:00+00:00
1514818800000,148.0,UA9_E_TBU_CD,2018-01-01 15:00:00+00:00
1514819700000,152.0,UA9_E_TBU_CD,2018-01-01 15:15:00+00:00
1514820600000,156.0,UA9_E_TBU_CD,2018-01-01 15:30:00+00:00
1514821500000,160.0,UA9_E_TBU_CD,2018-01-01 15:45:00+00:00
1514822400000,164.0,UA9_E_TBU_CD,2018-01-01 16:00:00+00:00
1514823300000,168.0,UA9_E_TBU_CD,2018-01-01 16:15:00+00:00
1514824200000,172.0,UA9_E_TBU_CD,2018-01-01 16:30:00+00:00
1514825100000,176.0,UA9_E_TBU_CD,2018-01-01 16:45:00+00:00
1514826000000,180.0,UA9_E_TBU_CD,2018-01-01 17:00:00+00:00
1514826900000,185.0,UA9_E_TBU_CD,2018-01-01 17:15:00+00:00
1514827800000,189.0,UA9_E_TBU_CD,2018-01-01 17:30:00+00:00
1514828700000,193.0,UA9_E_TBU_CD,2018-01-01 17:45:00+00:00
1514829600000,197.0,UA9_E_TBU_CD,2018-01-01 18:00:00+00:00
1514830500000,201.0,UA9_E_TBU_CD,2018-01-01 18:15:00+00:00
1514831400000,205.0,UA9_E_TBU_CD,2018-01-01 18:30:00+00:00
1514832300000,209.0,UA9_E_TBU_CD,2018-01-01 18:45:00+00:00
1514833200000,213.0,UA9_E_TBU_CD,2018-01-01 19:00:00+00:00
1514834100000,217.0,UA9_E_TBU_CD,2018-01-01 19:15:00+00:00
1514835000000,221.0,UA9_E_TBU_CD,2018-01-01 19:30:00+00:00
1514835900000,225.0,UA9_E_TBU_CD,2018-01-01 19:45:00+00:00
1514836800000,229.0,UA9_E_TBU_CD,2018-01-01 20:00:00+00:00
1514837700000,233.0,UA9_E_TBU_CD,2018-01-01 20:15:00+00:00
