Percentage,P On Campus [MW] ,Q On Campus [MVAR] ,P Off Campus [MW],Q Off Campus [MVAR],P Output [MW],Q Output [MVAR]
1,14.070,4.625,2.483,0.816,16.498,4.277
0.999,14.056,4.620,2.481,0.815,16.498,4.277
0.998,14.042,4.615,2.478,0.814,16.498,4.277
0.997,14.028,4.611,2.476,0.814,16.498,4.277
0.996,14.014,4.606,2.473,0.813,16.498,4.277
0.995,14.000,4.601,2.471,0.812,16.386,4.294
0.994,13.986,4.597,2.468,0.811,16.386,4.294
0.993,13.972,4.592,2.466,0.810,16.386,4.294
0.992,13.957,4.588,2.463,0.810,16.386,4.294
0.991,13.943,4.583,2.461,0.809,16.386,4.294
0.99,13.929,4.578,2.458,0.808,16.332,4.306
0.989,13.915,4.574,2.456,0.807,16.332,4.306
0.988,13.901,4.569,2.453,0.806,16.332,4.306
0.987,13.887,4.564,2.451,0.806,16.332,4.306
0.986,13.873,4.560,2.448,0.805,16.332,4.306
0.985,13.859,4.555,2.446,0.804,16.332,4.306
0.984,13.845,4.551,2.443,0.803,16.332,4.306
0.983,13.831,4.546,2.441,0.802,16.19,4.33
0.982,13.817,4.541,2.438,0.801,16.094,4.339
0.981,13.803,4.537,2.436,0.801,16.094,4.339
0.98,13.789,4.532,2.433,0.800,16.094,4.339
0.979,13.775,4.527,2.431,0.799,16.094,4.339
0.978,13.760,4.523,2.428,0.798,16.094,4.339
0.977,13.746,4.518,2.426,0.797,16.094,4.339
0.976,13.732,4.514,2.423,0.797,16.094,4.339
0.975,13.718,4.509,2.421,0.796,16.094,4.339
0.974,13.704,4.504,2.418,0.795,16.094,4.339
0.973,13.690,4.500,2.416,0.794,16.094,4.339
0.972,13.676,4.495,2.413,0.793,16.094,4.339
0.971,13.662,4.490,2.411,0.792,16.094,4.339
0.97,13.648,4.486,2.409,0.792,16.056,4.357
0.969,13.634,4.481,2.406,0.791,16.056,4.357
0.968,13.620,4.477,2.404,0.790,16.056,4.357
0.967,13.606,4.472,2.401,0.789,16.056,4.357
0.966,13.592,4.467,2.399,0.788,16.056,4.357
0.965,13.578,4.463,2.396,0.788,16.056,4.357
0.964,13.563,4.458,2.394,0.787,16.056,4.357
0.963,13.549,4.453,2.391,0.786,16.056,4.357
0.962,13.535,4.449,2.389,0.785,16.056,4.357
0.961,13.521,4.444,2.386,0.784,16.056,4.357
0.96,13.507,4.440,2.384,0.783,15.865,4.387
0.959,13.493,4.435,2.381,0.783,15.865,4.387
0.958,13.479,4.430,2.379,0.782,15.865,4.387
0.957,13.465,4.426,2.376,0.781,15.865,4.387
0.956,13.451,4.421,2.374,0.780,15.865,4.387
0.955,13.437,4.416,2.371,0.779,15.865,4.387
0.954,13.423,4.412,2.369,0.779,15.865,4.387
0.953,13.409,4.407,2.366,0.778,15.865,4.387
0.952,13.395,4.403,2.364,0.777,15.865,4.387
0.951,13.381,4.398,2.361,0.776,15.865,4.387
0.95,13.367,4.393,2.359,0.775,15.701,4.4414
0.949,13.352,4.389,2.356,0.775,15.738,4.413
0.948,13.338,4.384,2.354,0.774,15.738,4.413
0.947,13.324,4.379,2.351,0.773,15.738,4.413
0.946,13.310,4.375,2.349,0.772,15.738,4.413
0.945,13.296,4.370,2.346,0.771,15.738,4.413
0.944,13.282,4.366,2.344,0.770,15.738,4.413
0.943,13.268,4.361,2.341,0.770,15.738,4.413
0.942,13.254,4.356,2.339,0.769,15.738,4.413
0.941,13.240,4.352,2.337,0.768,15.738,4.413
0.94,13.226,4.347,2.334,0.767,15.536,4.442
0.939,13.212,4.342,2.332,0.766,15.536,4.442
0.938,13.198,4.338,2.329,0.766,15.536,4.442
0.937,13.184,4.333,2.327,0.765,15.536,4.442
0.936,13.170,4.329,2.324,0.764,15.536,4.442
0.935,13.155,4.324,2.322,0.763,15.536,4.442
0.934,13.141,4.319,2.319,0.762,15.536,4.442
0.933,13.127,4.315,2.317,0.761,15.536,4.442
0.932,13.113,4.310,2.314,0.761,15.536,4.442
0.931,13.099,4.305,2.312,0.760,15.536,4.442
0.93,13.085,4.301,2.309,0.759,15.37,4.47
0.929,13.071,4.296,2.307,0.758,15.37,4.47
0.928,13.057,4.292,2.304,0.757,15.37,4.47
0.927,13.043,4.287,2.302,0.757,15.37,4.47
0.926,13.029,4.282,2.299,0.756,15.37,4.47
0.925,13.015,4.278,2.297,0.755,15.37,4.47
0.924,13.001,4.273,2.294,0.754,15.37,4.47
0.923,12.987,4.268,2.292,0.753,15.37,4.47
0.922,12.973,4.264,2.289,0.752,15.37,4.47
0.921,12.958,4.259,2.287,0.752,15.37,4.47
0.92,12.944,4.255,2.284,0.751,15.181,4.578
0.919,12.930,4.250,2.282,0.750,15.181,4.578
0.918,12.916,4.245,2.279,0.749,15.181,4.578
0.917,12.902,4.241,2.277,0.748,15.181,4.578
0.916,12.888,4.236,2.274,0.748,15.181,4.578
0.915,12.874,4.231,2.272,0.747,15.181,4.578
0.914,12.860,4.227,2.269,0.746,15.181,4.578
0.913,12.846,4.222,2.267,0.745,15.181,4.578
0.912,12.832,4.218,2.264,0.744,15.181,4.578
0.911,12.818,4.213,2.262,0.743,15.181,4.578
0.91,12.804,4.208,2.260,0.743,15.018,4.526
0.909,12.790,4.204,2.257,0.742,15.018,4.526
0.908,12.776,4.199,2.255,0.741,15.018,4.526
0.907,12.761,4.194,2.252,0.740,15.018,4.526
0.906,12.747,4.190,2.250,0.739,15.018,4.526
0.905,12.733,4.185,2.247,0.739,15.018,4.526
0.904,12.719,4.181,2.245,0.738,15.018,4.526
0.903,12.705,4.176,2.242,0.737,15.018,4.526
0.902,12.691,4.171,2.240,0.736,15.018,4.526
0.901,12.677,4.167,2.237,0.735,15.018,4.526
0.9,12.663,4.162,2.235,0.735,14.968,4.545
0.899,12.649,4.158,2.232,0.734,14.968,4.545
0.898,12.635,4.153,2.230,0.733,14.968,4.545
0.897,12.621,4.148,2.227,0.732,14.968,4.545
0.896,12.607,4.144,2.225,0.731,14.968,4.545
0.895,12.593,4.139,2.222,0.730,14.968,4.545
0.894,12.579,4.134,2.220,0.730,14.968,4.545
0.893,12.565,4.130,2.217,0.729,14.968,4.545
0.892,12.550,4.125,2.215,0.728,14.968,4.545
0.891,12.536,4.121,2.212,0.727,14.968,4.545
0.89,12.522,4.116,2.210,0.726,14.688,4.581
0.889,12.508,4.111,2.207,0.726,14.688,4.581
0.888,12.494,4.107,2.205,0.725,14.688,4.581
0.887,12.480,4.102,2.202,0.724,14.688,4.581
0.886,12.466,4.097,2.200,0.723,14.688,4.581
0.885,12.452,4.093,2.197,0.722,14.688,4.581
0.884,12.438,4.088,2.195,0.721,14.688,4.581
0.883,12.424,4.084,2.192,0.721,14.688,4.581
0.882,12.410,4.079,2.190,0.720,14.688,4.581
0.881,12.396,4.074,2.188,0.719,14.688,4.581
0.88,12.382,4.070,2.185,0.718,14.549,4.606
0.879,12.368,4.065,2.183,0.717,14.549,4.606
0.878,12.353,4.060,2.180,0.717,14.549,4.606
0.877,12.339,4.056,2.178,0.716,14.549,4.606
0.876,12.325,4.051,2.175,0.715,14.549,4.606
0.875,12.311,4.047,2.173,0.714,14.549,4.606
0.874,12.297,4.042,2.170,0.713,14.549,4.606
0.873,12.283,4.037,2.168,0.712,14.549,4.606
0.872,12.269,4.033,2.165,0.712,14.549,4.606
0.871,12.255,4.028,2.163,0.711,14.549,4.606
0.87,12.241,4.023,2.160,0.710,14.384,4.634
0.869,12.227,4.019,2.158,0.709,14.384,4.634
0.868,12.213,4.014,2.155,0.708,14.384,4.634
0.867,12.199,4.010,2.153,0.708,14.384,4.634
0.866,12.185,4.005,2.150,0.707,14.384,4.634
0.865,12.171,4.000,2.148,0.706,14.384,4.634
0.864,12.156,3.996,2.145,0.705,14.384,4.634
0.863,12.142,3.991,2.143,0.704,14.384,4.634
0.862,12.128,3.986,2.140,0.703,14.384,4.634
0.861,12.114,3.982,2.138,0.703,14.384,4.634
0.86,12.100,3.977,2.135,0.702,14.219,4.661
0.859,12.086,3.973,2.133,0.701,14.219,4.661
0.858,12.072,3.968,2.130,0.700,14.219,4.661
0.857,12.058,3.963,2.128,0.699,14.219,4.661
0.856,12.044,3.959,2.125,0.699,14.219,4.661
0.855,12.030,3.954,2.123,0.698,14.219,4.661
0.854,12.016,3.949,2.120,0.697,14.219,4.661
0.853,12.002,3.945,2.118,0.696,14.219,4.661
0.852,11.988,3.940,2.116,0.695,14.219,4.661
0.851,11.974,3.936,2.113,0.695,14.219,4.661
0.85,11.960,3.931,2.111,0.694,14.055,4.688
0.849,11.945,3.926,2.108,0.693,14.055,4.688
0.848,11.931,3.922,2.106,0.692,14.055,4.688
0.847,11.917,3.917,2.103,0.691,14.055,4.688
0.846,11.903,3.912,2.101,0.690,14.055,4.688
0.845,11.889,3.908,2.098,0.690,14.055,4.688
0.844,11.875,3.903,2.096,0.689,14.055,4.688
0.843,11.861,3.899,2.093,0.688,14.055,4.688
0.842,11.847,3.894,2.091,0.687,14.055,4.688
0.841,11.833,3.889,2.088,0.686,14.055,4.688
0.84,11.819,3.885,2.086,0.686,13.89,4.716
0.839,11.805,3.880,2.083,0.685,13.89,4.716
0.838,11.791,3.875,2.081,0.684,13.89,4.716
0.837,11.777,3.871,2.078,0.683,13.89,4.716
0.836,11.763,3.866,2.076,0.682,13.89,4.716
0.835,11.748,3.862,2.073,0.681,13.89,4.716
0.834,11.734,3.857,2.071,0.681,13.89,4.716
0.833,11.720,3.852,2.068,0.680,13.89,4.716
0.832,11.706,3.848,2.066,0.679,13.89,4.716
0.831,11.692,3.843,2.063,0.678,13.89,4.716
0.83,11.678,3.838,2.061,0.677,13.725,4.743
0.829,11.664,3.834,2.058,0.677,13.725,4.743
0.828,11.650,3.829,2.056,0.676,13.725,4.743
0.827,11.636,3.825,2.053,0.675,13.725,4.743
0.826,11.622,3.820,2.051,0.674,13.725,4.743
0.825,11.608,3.815,2.048,0.673,13.725,4.743
0.824,11.594,3.811,2.046,0.672,13.725,4.743
0.823,11.580,3.806,2.044,0.672,13.725,4.743
0.822,11.566,3.801,2.041,0.671,13.725,4.743
